Year,Institution,Campus,Institution Size,Category,Location,Subcategory,Number
2011,Yale University,Main Campus,11875,Criminal offenses,Noncampus,Robbery,1
2012,Yale University,Main Campus,11906,Criminal offenses,Noncampus,Robbery,0
2013,Yale University,Main Campus,12109,Criminal offenses,Noncampus,Robbery,1
2014,Yale University,Main Campus,12336,Criminal offenses,Noncampus,Robbery,0
2015,Yale University,Main Campus,12385,Criminal offenses,Noncampus,Robbery,0
2016,Yale University,Main Campus,12458,Criminal offenses,Noncampus,Robbery,0
2017,Yale University,Main Campus,12974,Criminal offenses,Noncampus,Robbery,0
2001,Yale University,Main Campus,11136,Criminal offenses,Noncampus,Aggravated assault,1
2002,Yale University,Main Campus,11378,Criminal offenses,Noncampus,Aggravated assault,0
2003,Yale University,Main Campus,11471,Criminal offenses,Noncampus,Aggravated assault,0
2004,Yale University,Main Campus,11441,Criminal offenses,Noncampus,Aggravated assault,0
2005,Yale University,Main Campus,11483,Criminal offenses,Noncampus,Aggravated assault,1
2006,Yale University,Main Campus,11415,Criminal offenses,Noncampus,Aggravated assault,0
2007,Yale University,Main Campus,11454,Criminal offenses,Noncampus,Aggravated assault,0
2008,Yale University,Main Campus,10192,Criminal offenses,Noncampus,Aggravated assault,0
2009,Yale University,Main Campus,11593,Criminal offenses,Noncampus,Aggravated assault,0
2010,Yale University,Main Campus,11701,Criminal offenses,Noncampus,Aggravated assault,0
2011,Yale University,Main Campus,11875,Criminal offenses,Noncampus,Aggravated assault,1
2012,Yale University,Main Campus,11906,Criminal offenses,Noncampus,Aggravated assault,0
2013,Yale University,Main Campus,12109,Criminal offenses,Noncampus,Aggravated assault,0
2014,Yale University,Main Campus,12336,Criminal offenses,Noncampus,Aggravated assault,1
2015,Yale University,Main Campus,12385,Criminal offenses,Noncampus,Aggravated assault,2
2016,Yale University,Main Campus,12458,Criminal offenses,Noncampus,Aggravated assault,0
2017,Yale University,Main Campus,12974,Criminal offenses,Noncampus,Aggravated assault,0
2001,Yale University,Main Campus,11136,Criminal offenses,Noncampus,Burglary,1
2002,Yale University,Main Campus,11378,Criminal offenses,Noncampus,Burglary,0
2003,Yale University,Main Campus,11471,Criminal offenses,Noncampus,Burglary,1
2004,Yale University,Main Campus,11441,Criminal offenses,Noncampus,Burglary,6
2005,Yale University,Main Campus,11483,Criminal offenses,Noncampus,Burglary,2
2006,Yale University,Main Campus,11415,Criminal offenses,Noncampus,Burglary,1
2007,Yale University,Main Campus,11454,Criminal offenses,Noncampus,Burglary,5
2008,Yale University,Main Campus,10192,Criminal offenses,Noncampus,Burglary,3
2009,Yale University,Main Campus,11593,Criminal offenses,Noncampus,Burglary,0
2010,Yale University,Main Campus,11701,Criminal offenses,Noncampus,Burglary,7
2011,Yale University,Main Campus,11875,Criminal offenses,Noncampus,Burglary,14
2012,Yale University,Main Campus,11906,Criminal offenses,Noncampus,Burglary,2
2013,Yale University,Main Campus,12109,Criminal offenses,Noncampus,Burglary,4
2014,Yale University,Main Campus,12336,Criminal offenses,Noncampus,Burglary,4
2015,Yale University,Main Campus,12385,Criminal offenses,Noncampus,Burglary,1
2016,Yale University,Main Campus,12458,Criminal offenses,Noncampus,Burglary,1
2017,Yale University,Main Campus,12974,Criminal offenses,Noncampus,Burglary,3
2001,Yale University,Main Campus,11136,Criminal offenses,Noncampus,Motor vehicle theft,1
2002,Yale University,Main Campus,11378,Criminal offenses,Noncampus,Motor vehicle theft,0
2003,Yale University,Main Campus,11471,Criminal offenses,Noncampus,Motor vehicle theft,0
2004,Yale University,Main Campus,11441,Criminal offenses,Noncampus,Motor vehicle theft,0
2005,Yale University,Main Campus,11483,Criminal offenses,Noncampus,Motor vehicle theft,0
2006,Yale University,Main Campus,11415,Criminal offenses,Noncampus,Motor vehicle theft,0
2007,Yale University,Main Campus,11454,Criminal offenses,Noncampus,Motor vehicle theft,1
2008,Yale University,Main Campus,10192,Criminal offenses,Noncampus,Motor vehicle theft,1
2009,Yale University,Main Campus,11593,Criminal offenses,Noncampus,Motor vehicle theft,0
2010,Yale University,Main Campus,11701,Criminal offenses,Noncampus,Motor vehicle theft,0
2011,Yale University,Main Campus,11875,Criminal offenses,Noncampus,Motor vehicle theft,5
2012,Yale University,Main Campus,11906,Criminal offenses,Noncampus,Motor vehicle theft,1
2013,Yale University,Main Campus,12109,Criminal offenses,Noncampus,Motor vehicle theft,4
2014,Yale University,Main Campus,12336,Criminal offenses,Noncampus,Motor vehicle theft,1
2015,Yale University,Main Campus,12385,Criminal offenses,Noncampus,Motor vehicle theft,1
2016,Yale University,Main Campus,12458,Criminal offenses,Noncampus,Motor vehicle theft,0
2017,Yale University,Main Campus,12974,Criminal offenses,Noncampus,Motor vehicle theft,1
2001,Yale University,Main Campus,11136,Criminal offenses,Noncampus,Arson,0
2002,Yale University,Main Campus,11378,Criminal offenses,Noncampus,Arson,0
2003,Yale University,Main Campus,11471,Criminal offenses,Noncampus,Arson,0
2004,Yale University,Main Campus,11441,Criminal offenses,Noncampus,Arson,0
2005,Yale University,Main Campus,11483,Criminal offenses,Noncampus,Arson,0
2006,Yale University,Main Campus,11415,Criminal offenses,Noncampus,Arson,0
2007,Yale University,Main Campus,11454,Criminal offenses,Noncampus,Arson,0
2008,Yale University,Main Campus,10192,Criminal offenses,Noncampus,Arson,0
2009,Yale University,Main Campus,11593,Criminal offenses,Noncampus,Arson,0
2010,Yale University,Main Campus,11701,Criminal offenses,Noncampus,Arson,0
2011,Yale University,Main Campus,11875,Criminal offenses,Noncampus,Arson,0
2012,Yale University,Main Campus,11906,Criminal offenses,Noncampus,Arson,0
2013,Yale University,Main Campus,12109,Criminal offenses,Noncampus,Arson,0
2014,Yale University,Main Campus,12336,Criminal offenses,Noncampus,Arson,0
2015,Yale University,Main Campus,12385,Criminal offenses,Noncampus,Arson,1
2016,Yale University,Main Campus,12458,Criminal offenses,Noncampus,Arson,0
2017,Yale University,Main Campus,12974,Criminal offenses,Noncampus,Arson,0
2001,Yale University,Main Campus,11136,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2002,Yale University,Main Campus,11378,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2003,Yale University,Main Campus,11471,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2004,Yale University,Main Campus,11441,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2005,Yale University,Main Campus,11483,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2006,Yale University,Main Campus,11415,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2007,Yale University,Main Campus,11454,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2008,Yale University,Main Campus,10192,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2009,Yale University,Main Campus,11593,Criminal offenses,On campus,Murder/Non-negligent manslaughter,1
2010,Yale University,Main Campus,11701,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2011,Yale University,Main Campus,11875,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2012,Yale University,Main Campus,11906,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2013,Yale University,Main Campus,12109,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2014,Yale University,Main Campus,12336,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2015,Yale University,Main Campus,12385,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2016,Yale University,Main Campus,12458,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2017,Yale University,Main Campus,12974,Criminal offenses,On campus,Murder/Non-negligent manslaughter,0
2001,Yale University,Main Campus,11136,Criminal offenses,On campus,Negligent manslaughter,0
2002,Yale University,Main Campus,11378,Criminal offenses,On campus,Negligent manslaughter,0
2003,Yale University,Main Campus,11471,Criminal offenses,On campus,Negligent manslaughter,0
2004,Yale University,Main Campus,11441,Criminal offenses,On campus,Negligent manslaughter,0
2005,Yale University,Main Campus,11483,Criminal offenses,On campus,Negligent manslaughter,0
2006,Yale University,Main Campus,11415,Criminal offenses,On campus,Negligent manslaughter,0
2007,Yale University,Main Campus,11454,Criminal offenses,On campus,Negligent manslaughter,0
2008,Yale University,Main Campus,10192,Criminal offenses,On campus,Negligent manslaughter,0
2009,Yale University,Main Campus,11593,Criminal offenses,On campus,Negligent manslaughter,0
2010,Yale University,Main Campus,11701,Criminal offenses,On campus,Negligent manslaughter,0
2011,Yale University,Main Campus,11875,Criminal offenses,On campus,Negligent manslaughter,0
2012,Yale University,Main Campus,11906,Criminal offenses,On campus,Negligent manslaughter,0
2013,Yale University,Main Campus,12109,Criminal offenses,On campus,Negligent manslaughter,0
2014,Yale University,Main Campus,12336,Criminal offenses,On campus,Negligent manslaughter,0
2015,Yale University,Main Campus,12385,Criminal offenses,On campus,Negligent manslaughter,0
2016,Yale University,Main Campus,12458,Criminal offenses,On campus,Negligent manslaughter,0
2017,Yale University,Main Campus,12974,Criminal offenses,On campus,Negligent manslaughter,0
2001,Yale University,Main Campus,11136,Criminal offenses,On campus,Sex offenses - Forcible,1
2002,Yale University,Main Campus,11378,Criminal offenses,On campus,Sex offenses - Forcible,3
2003,Yale University,Main Campus,11471,Criminal offenses,On campus,Sex offenses - Forcible,5
2004,Yale University,Main Campus,11441,Criminal offenses,On campus,Sex offenses - Forcible,4
2005,Yale University,Main Campus,11483,Criminal offenses,On campus,Sex offenses - Forcible,11
2006,Yale University,Main Campus,11415,Criminal offenses,On campus,Sex offenses - Forcible,9
2007,Yale University,Main Campus,11454,Criminal offenses,On campus,Sex offenses - Forcible,8
2008,Yale University,Main Campus,10192,Criminal offenses,On campus,Sex offenses - Forcible,13
2009,Yale University,Main Campus,11593,Criminal offenses,On campus,Sex offenses - Forcible,7
2010,Yale University,Main Campus,11701,Criminal offenses,On campus,Sex offenses - Forcible,10
2011,Yale University,Main Campus,11875,Criminal offenses,On campus,Sex offenses - Forcible,18
2012,Yale University,Main Campus,11906,Criminal offenses,On campus,Sex offenses - Forcible,16
2013,Yale University,Main Campus,12109,Criminal offenses,On campus,Sex offenses - Forcible,12
2014,Yale University,Main Campus,12336,Criminal offenses,On campus,Sex offenses - Forcible,0
2015,Yale University,Main Campus,12385,Criminal offenses,On campus,Sex offenses - Forcible,0
2016,Yale University,Main Campus,12458,Criminal offenses,On campus,Sex offenses - Forcible,0
2017,Yale University,Main Campus,12974,Criminal offenses,On campus,Sex offenses - Forcible,0
2001,Yale University,Main Campus,11136,Criminal offenses,On campus,Rape,0
2002,Yale University,Main Campus,11378,Criminal offenses,On campus,Rape,0
2003,Yale University,Main Campus,11471,Criminal offenses,On campus,Rape,0
2004,Yale University,Main Campus,11441,Criminal offenses,On campus,Rape,0
2005,Yale University,Main Campus,11483,Criminal offenses,On campus,Rape,0
2006,Yale University,Main Campus,11415,Criminal offenses,On campus,Rape,0
2007,Yale University,Main Campus,11454,Criminal offenses,On campus,Rape,0
2008,Yale University,Main Campus,10192,Criminal offenses,On campus,Rape,0
2009,Yale University,Main Campus,11593,Criminal offenses,On campus,Rape,0
2010,Yale University,Main Campus,11701,Criminal offenses,On campus,Rape,0
2011,Yale University,Main Campus,11875,Criminal offenses,On campus,Rape,0
2012,Yale University,Main Campus,11906,Criminal offenses,On campus,Rape,0
2013,Yale University,Main Campus,12109,Criminal offenses,On campus,Rape,0
2014,Yale University,Main Campus,12336,Criminal offenses,On campus,Rape,13
2015,Yale University,Main Campus,12385,Criminal offenses,On campus,Rape,17
2016,Yale University,Main Campus,12458,Criminal offenses,On campus,Rape,24
2017,Yale University,Main Campus,12974,Criminal offenses,On campus,Rape,15
2001,Yale University,Main Campus,11136,Criminal offenses,On campus,Fondling,0
2002,Yale University,Main Campus,11378,Criminal offenses,On campus,Fondling,0
2003,Yale University,Main Campus,11471,Criminal offenses,On campus,Fondling,0
2004,Yale University,Main Campus,11441,Criminal offenses,On campus,Fondling,0
2005,Yale University,Main Campus,11483,Criminal offenses,On campus,Fondling,0
2006,Yale University,Main Campus,11415,Criminal offenses,On campus,Fondling,0
2007,Yale University,Main Campus,11454,Criminal offenses,On campus,Fondling,0
2008,Yale University,Main Campus,10192,Criminal offenses,On campus,Fondling,0
2009,Yale University,Main Campus,11593,Criminal offenses,On campus,Fondling,0
2010,Yale University,Main Campus,11701,Criminal offenses,On campus,Fondling,0
2011,Yale University,Main Campus,11875,Criminal offenses,On campus,Fondling,0
2012,Yale University,Main Campus,11906,Criminal offenses,On campus,Fondling,0
2013,Yale University,Main Campus,12109,Criminal offenses,On campus,Fondling,0
2014,Yale University,Main Campus,12336,Criminal offenses,On campus,Fondling,4
2015,Yale University,Main Campus,12385,Criminal offenses,On campus,Fondling,9
2016,Yale University,Main Campus,12458,Criminal offenses,On campus,Fondling,8
2017,Yale University,Main Campus,12974,Criminal offenses,On campus,Fondling,13
2001,Yale University,Main Campus,11136,Criminal offenses,On campus,Sex offenses - Non-forcible,0
2002,Yale University,Main Campus,11378,Criminal offenses,On campus,Sex offenses - Non-forcible,0
2003,Yale University,Main Campus,11471,Criminal offenses,On campus,Sex offenses - Non-forcible,0
